customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,total_services,is_senior,has_family,avg_monthly_charge,is_long_term_contract,has_streaming,has_support_or_security,payment_type
2668-TZSPS,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.45,20.45,No,0-12,1,0,0,20.45,0,0,0,mailed
3192-LNKRK,Male,0,Yes,Yes,34.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,84.05,2909.95,No,25-48,3,0,1,85.58676470588235,0,1,0,mailed
5315-CKEQK,Male,1,Yes,Yes,28.0,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,51.0,1381.8,No,25-48,2,1,1,49.35,1,0,0,electronic
5914-DVBWJ,Female,1,No,No,18.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.45,1505.85,Yes,13-24,4,1,0,83.65833333333333,0,0,1,electronic
7998-ZLXWN,Female,0,Yes,No,15.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.45,330.8,No,13-24,1,0,0,22.053333333333335,0,0,0,credit
6328-ZPBGN,Female,1,No,No,11.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.15,997.65,Yes,0-12,4,1,0,90.69545454545454,0,1,0,bank
9530-EHPOH,Male,0,No,No,11.0,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,53.75,608.0,Yes,0-12,3,0,0,55.27272727272727,0,0,0,electronic
1853-UDXBW,Male,0,Yes,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,70.0,Yes,0-12,1,0,1,70.0,0,0,0,electronic
2672-TGEFF,Female,0,Yes,Yes,37.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.8,3340.55,No,25-48,4,0,1,90.28513513513514,0,1,0,electronic
1902-XBTFB,Male,0,No,Yes,22.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.4,2001.5,Yes,13-24,4,0,0,90.97727272727273,0,1,0,electronic
1640-PLFMP,Female,0,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.25,70.25,No,0-12,1,0,0,70.25,0,0,0,electronic
3679-XASPY,Female,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,0-12,1,0,1,19.45,0,0,0,electronic
7356-IWLFW,Male,0,Yes,Yes,46.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.0,3769.7,No,25-48,3,0,1,81.95,0,0,0,bank
9036-CSKBW,Female,0,No,No,51.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),107.45,5680.9,No,49-60,7,0,0,111.39019607843136,1,1,1,bank
8952-WCVCD,Female,0,Yes,No,41.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.45,4162.05,No,25-48,6,0,0,101.51341463414634,1,1,1,bank
2100-BDNSN,Female,0,Yes,No,5.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),67.95,350.3,Yes,0-12,5,0,0,70.06,0,1,1,bank
2869-ADAWR,Female,0,No,No,45.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.3,4016.85,Yes,25-48,4,0,0,89.26333333333334,0,1,0,credit
5832-EXGTT,Male,0,Yes,Yes,29.0,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,60.2,1834.15,No,25-48,3,0,1,63.24655172413794,0,1,1,mailed
9402-ORRAH,Female,1,No,No,15.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.5,1400.3,No,13-24,3,1,0,93.35333333333332,0,1,0,electronic
4967-WPNCF,Male,0,No,No,72.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),63.7,4464.8,No,61+,6,0,0,62.01111111111111,1,1,1,bank
8033-VCZGH,Male,0,Yes,No,50.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.95,5231.3,No,49-60,6,0,0,104.626,1,1,1,electronic
9392-XBGTD,Male,0,No,Yes,27.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.6,581.85,No,25-48,1,0,0,21.55,1,0,0,mailed
0078-XZMHT,Male,0,Yes,No,72.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,No,61+,7,0,0,87.725,1,1,1,bank
0743-HNPFG,Female,0,Yes,Yes,51.0,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),69.75,3562.5,No,49-60,5,0,1,69.8529411764706,1,1,1,credit
5334-JLAXU,Female,0,Yes,No,60.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.1,5475.9,No,49-60,5,0,0,91.265,0,1,1,credit
5696-EXCYS,Male,0,No,No,17.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.45,369.05,No,13-24,1,0,0,21.708823529411767,1,0,0,credit
2569-WGERO,Female,0,No,No,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.15,1419.4,No,61+,1,0,0,19.71388888888889,1,0,0,bank
5219-YIPTK,Female,0,Yes,No,33.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,3409.6,Yes,25-48,6,0,0,103.32121212121211,0,1,0,electronic
5553-AOINX,Female,1,Yes,Yes,66.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.9,6891.45,No,61+,6,1,1,104.41590909090908,1,1,0,electronic
5502-RLUYV,Female,0,Yes,Yes,69.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.95,7446.9,Yes,61+,6,0,1,107.92608695652173,0,1,0,electronic
2058-DCJBE,Male,0,No,No,5.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.75,324.6,Yes,0-12,1,0,0,64.92,0,0,0,electronic
2293-IJWPS,Female,0,Yes,No,57.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),100.75,5985.0,No,49-60,5,0,0,105.0,1,1,0,credit
7130-VTEWQ,Female,1,No,No,8.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.75,606.25,Yes,0-12,2,1,0,75.78125,0,0,0,electronic
0080-EMYVY,Female,0,No,No,14.0,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),51.45,727.85,No,13-24,2,0,0,51.989285714285714,1,0,0,credit
0148-DCDOS,Male,0,No,No,25.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,Yes,25-48,4,0,0,94.484,0,1,0,bank
9170-ARBTB,Female,0,Yes,Yes,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.6,1012.4,No,49-60,1,0,1,19.46923076923077,1,0,0,credit
2070-FNEXE,Female,1,No,No,7.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,0-12,2,1,0,71.94285714285715,0,0,1,bank
5364-EVNIB,Male,0,No,No,13.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.8,973.45,Yes,13-24,3,0,0,74.88076923076923,0,0,0,electronic
1112-CUNAO,Female,1,No,No,15.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,89.85,1424.95,Yes,13-24,4,1,0,94.99666666666667,0,1,0,electronic
4576-CSAJH,Male,0,No,No,22.0,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),55.15,1193.05,Yes,13-24,3,0,0,54.22954545454545,1,0,1,credit
9967-ATRFS,Female,0,No,No,19.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,367.55,No,13-24,1,0,0,19.344736842105263,0,0,0,mailed
1360-RCYRT,Male,0,Yes,Yes,23.0,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),30.35,678.75,No,13-24,1,0,1,29.51086956521739,0,0,1,bank
5038-ETMLM,Female,0,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.65,8182.75,No,61+,8,0,0,113.64930555555556,1,1,1,bank
5663-QBGIS,Male,1,Yes,No,72.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),98.35,6929.4,No,61+,5,1,0,96.24166666666666,1,1,0,bank
4194-WHFCB,Female,0,Yes,Yes,59.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),96.65,5580.8,No,49-60,5,0,1,94.58983050847458,0,1,1,bank
9481-WHGWY,Female,0,Yes,Yes,70.0,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),75.35,5437.75,No,61+,5,0,1,77.68214285714286,1,1,1,credit
5453-YBTWV,Male,0,Yes,Yes,70.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),101.1,6994.8,No,61+,6,0,1,99.92571428571429,1,1,1,credit
2018-PZKMU,Male,0,Yes,Yes,9.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,103.1,970.45,No,0-12,5,0,1,107.82777777777778,0,1,1,electronic
9277-JOOMO,Female,0,No,No,3.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.6,86.35,No,0-12,2,0,0,28.78333333333333,0,0,0,mailed
3629-ZNKXA,Male,1,No,No,17.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.8,1752.45,No,13-24,5,1,0,103.08529411764707,0,1,0,electronic
0369-ZGOVK,Female,0,Yes,Yes,28.0,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),70.4,1992.2,No,25-48,1,0,1,71.15,1,0,0,bank
3604-WLABM,Female,0,No,No,10.0,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,54.25,583.0,No,0-12,3,0,0,58.3,0,0,1,electronic
4063-EIKNQ,Male,0,Yes,Yes,11.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.95,267.35,No,0-12,1,0,1,24.30454545454546,0,0,0,bank
2878-RMWXY,Male,1,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),102.65,7550.3,No,61+,6,1,0,104.86527777777778,1,1,1,credit
9540-JYROE,Male,0,No,No,8.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.1,551.35,Yes,0-12,1,0,0,68.91875,0,0,0,mailed
7515-LODFU,Male,1,No,No,69.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.3,1356.3,No,61+,1,1,0,19.656521739130433,1,0,0,credit
1839-FBNFR,Female,0,Yes,Yes,39.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.85,854.8,No,25-48,1,0,1,21.91794871794872,1,0,0,bank
5397-NSKQG,Male,0,Yes,Yes,67.0,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),50.9,3281.65,No,61+,3,0,1,48.97985074626866,1,1,1,credit
1755-FZQEC,Male,0,No,No,39.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.9,791.15,No,25-48,1,0,0,20.285897435897436,1,0,0,mailed
2160-GPFXD,Male,0,Yes,Yes,54.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),65.65,3566.7,No,49-60,5,0,1,66.05,1,0,1,credit
4415-IJZTP,Female,0,No,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,Yes,0-12,2,0,0,74.5,0,0,0,electronic
9880-TDQAC,Female,0,Yes,Yes,72.0,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,60.0,4264.0,No,61+,5,0,1,59.22222222222222,1,1,1,electronic
5138-WVKYJ,Male,0,No,No,10.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.55,1008.55,Yes,0-12,5,0,0,100.85499999999999,0,1,1,electronic
8844-TONUD,Male,0,Yes,Yes,13.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,96.65,1162.85,Yes,13-24,4,0,1,89.44999999999999,0,1,0,mailed
0080-OROZO,Female,0,No,No,35.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,No,25-48,5,0,0,100.91428571428571,1,1,1,electronic
0953-LGOVU,Male,0,Yes,Yes,12.0,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,35.5,432.25,No,0-12,2,0,1,36.020833333333336,0,0,1,mailed
5325-UWTWJ,Male,0,Yes,No,31.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),90.55,2929.75,No,25-48,5,0,0,94.50806451612904,0,0,1,credit
1074-AMIOH,Female,0,Yes,Yes,53.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.25,5935.1,No,49-60,6,0,1,111.98301886792453,0,1,1,bank
5906-BFOZT,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,19.5,No,0-12,1,0,0,19.5,0,0,0,mailed
7026-YMSBE,Male,0,No,No,30.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.7,625.05,No,25-48,1,0,0,20.834999999999997,1,0,0,mailed
6572-ADKRS,Female,0,No,No,46.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,25-48,2,0,0,77.13695652173914,0,0,0,credit
5922-ABDVO,Female,0,Yes,No,19.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.65,1761.05,Yes,13-24,4,0,0,92.68684210526315,0,1,0,mailed
6475-VHUIZ,Female,0,Yes,No,23.0,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,54.25,1221.55,No,13-24,3,0,0,53.11086956521739,0,0,1,electronic
1324-NLTJE,Female,1,No,No,15.0,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),55.0,757.1,Yes,13-24,3,1,0,50.473333333333336,0,0,1,credit
4361-FEBGN,Male,0,No,No,48.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.15,982.95,No,25-48,1,0,0,20.478125000000002,1,0,0,credit
8393-DLHGA,Male,0,No,Yes,25.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.9,2448.75,Yes,25-48,4,0,0,97.95,0,1,0,electronic
6769-DCQLI,Male,0,No,No,52.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),105.0,5426.85,Yes,49-60,6,0,0,104.36250000000001,1,1,1,bank
3018-TFTSU,Male,0,No,No,12.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),81.7,858.6,Yes,0-12,3,0,0,71.55,0,0,1,bank
2324-AALNO,Female,0,No,No,48.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.55,1203.95,No,25-48,2,0,0,25.082291666666666,1,0,0,bank
2300-RQGOI,Female,0,No,No,38.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.05,741.5,No,25-48,1,0,0,19.513157894736842,1,0,0,mailed
6133-OZILE,Female,0,No,No,18.0,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,35.2,607.3,No,13-24,2,0,0,33.73888888888889,0,0,1,electronic
7605-SNLQG,Female,0,Yes,No,45.0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),50.25,2221.55,No,25-48,2,0,0,49.36777777777778,0,0,0,credit
5348-CAGXB,Male,0,No,No,12.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.55,1021.75,No,0-12,4,0,0,85.14583333333333,0,1,0,electronic
0201-MIBOL,Female,1,No,No,66.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.4,6471.85,No,61+,5,1,0,98.05833333333334,1,1,1,bank
7083-MIOPC,Female,0,No,No,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.25,1566.9,No,61+,1,0,0,21.762500000000003,1,0,0,credit
0562-KBDVM,Female,0,No,No,70.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),44.6,3058.15,No,61+,4,0,0,43.68785714285715,1,0,1,bank
1173-NOEYG,Female,0,Yes,No,27.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),90.15,2423.4,No,25-48,4,0,0,89.75555555555556,0,1,0,bank
7698-YFGEZ,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,20.0,No,0-12,1,0,0,20.0,0,0,0,mailed
9061-TIHDA,Male,1,Yes,No,13.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.25,1233.65,Yes,13-24,4,1,0,94.89615384615385,0,1,0,electronic
0016-QLJIS,Female,0,Yes,Yes,65.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,No,61+,8,0,1,91.66,1,1,1,mailed
7296-PIXQY,Female,0,Yes,Yes,14.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.2,1046.5,No,13-24,1,0,1,74.75,0,0,0,electronic
9102-IAYHT,Female,0,Yes,Yes,17.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.45,1451.6,Yes,13-24,3,0,1,85.38823529411764,0,1,0,electronic
6447-EGDIV,Female,0,No,No,31.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.95,683.25,No,25-48,1,0,0,22.04032258064516,1,0,0,mailed
3460-TJBWI,Male,0,Yes,Yes,24.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.2,609.05,No,13-24,2,0,1,25.37708333333333,1,0,0,mailed
3744-ZBHON,Female,0,No,No,3.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.2,65.95,No,0-12,1,0,0,21.983333333333334,0,0,0,electronic
1092-GANHU,Male,0,No,No,17.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.65,1313.55,Yes,13-24,2,0,0,77.26764705882353,0,0,0,electronic
3948-KXDUF,Male,0,No,No,66.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),68.75,4447.55,No,61+,6,0,0,67.38712121212122,1,0,1,bank
7284-ZZLOH,Male,0,Yes,No,45.0,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),53.3,2296.25,No,25-48,3,0,0,51.02777777777778,1,0,1,credit
6745-JEFZB,Male,0,Yes,No,35.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),91.5,3236.35,No,25-48,4,0,0,92.46714285714286,0,1,1,credit
2606-PKWJB,Male,0,No,Yes,40.0,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,40.25,1564.05,No,25-48,3,0,0,39.10125,1,0,1,mailed
1624-WOIWJ,Female,0,No,No,10.0,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.7,832.05,Yes,0-12,3,0,0,83.205,0,1,1,mailed
8777-PVYGU,Female,0,Yes,No,52.0,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,64.3,3410.6,No,49-60,4,0,0,65.58846153846153,1,1,1,mailed
4770-QAZXN,Female,0,No,No,13.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.45,232.1,No,13-24,1,0,0,17.853846153846153,0,0,0,credit
8012-SOUDQ,Female,1,No,No,43.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,25-48,4,1,0,89.27325581395348,0,1,0,electronic
5546-BYZSM,Female,0,No,No,41.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.45,775.6,No,25-48,1,0,0,18.917073170731708,0,0,0,electronic
0523-VNGTF,Female,1,No,No,52.0,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,50.5,2566.3,No,49-60,4,1,0,49.35192307692308,0,1,1,electronic
3779-OSWCF,Female,0,Yes,No,71.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),93.2,6506.15,No,61+,8,0,0,91.63591549295774,1,1,1,credit
8535-SFUTN,Male,0,No,No,61.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.45,6300.15,No,61+,6,0,0,103.2811475409836,0,1,1,electronic
2320-SLKMB,Female,0,No,No,26.0,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),44.45,1183.8,No,25-48,3,0,0,45.53076923076923,0,1,1,credit
7169-YWAMK,Male,0,Yes,Yes,72.0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),68.4,4855.35,No,61+,5,0,1,67.43541666666667,1,1,1,bank
8434-PNQZX,Female,0,No,No,42.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),78.45,3373.4,No,25-48,6,0,0,80.31904761904762,1,1,1,credit
4981-FLTMF,Female,0,Yes,Yes,57.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),65.2,3687.85,No,49-60,5,0,1,64.69912280701755,0,0,1,bank
9424-CMPOG,Male,0,Yes,Yes,9.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.6,197.4,No,0-12,1,0,1,21.933333333333334,1,0,0,mailed
